ISO,scenario,year,pi,pi_dose
AND,max_uptake,1,0.9953952047311772,0.9950555852082991
AND,max_uptake,2,0.9904200346545338,0.9897239543475597
AND,max_uptake,3,0.9849914515093636,0.9839074900296644
AND,max_uptake,4,0.9790370405128007,0.9775461783608774
AND,max_uptake,5,0.9725935896347965,0.9706570971434281
AND,max_uptake,6,0.9655840453973953,0.9631776121717536
AND,max_uptake,7,0.957970822732406,0.9550687437831697
AND,max_uptake,8,0.9496962837503173,0.9462586853699394
AND,max_uptake,9,0.9406970714570131,0.9366944219674422
AND,max_uptake,10,0.9308910550758034,0.9262819262240245
AND,max_uptake,11,0.920224906626173,0.9149623991114204
AND,max_uptake,12,0.9087184343731585,0.9027556252376806
AND,max_uptake,13,0.8962534690985611,0.8895627672797936
AND,max_uptake,14,0.882758545670732,0.8753280016229215
AND,max_uptake,15,0.8683073100851243,0.8600786735437118
AND,mod_uptake,1,0.9953607858822325,0.9949529191904236
AND,mod_uptake,2,0.9903405629607442,0.9895056147855984
AND,mod_uptake,3,0.9848734179259204,0.9835666355324105
AND,mod_uptake,4,0.9788731185454728,0.977064665810461
AND,mod_uptake,5,0.9723854415851281,0.9700335066688176
AND,mod_uptake,6,0.9653291664776052,0.9623957997175158
AND,mod_uptake,7,0.9576485216785902,0.9541006411459537
AND,mod_uptake,8,0.9492810844705906,0.9450685391717831
AND,mod_uptake,9,0.9401653821507597,0.9352474404636641
AND,mod_uptake,10,0.9302231378367158,0.9245582706869296
AND,mod_uptake,11,0.9193983969479227,0.9129334733304694
AND,mod_uptake,12,0.907709401048536,0.9003751613347151
AND,mod_uptake,13,0.8950307623800255,0.8868031793678652
AND,mod_uptake,14,0.8812770320014925,0.8721411846127862
AND,mod_uptake,15,0.8665387003623292,0.8564260453610345
ARE,max_uptake,1,0.9986535697790215,0.9985536339204166
ARE,max_uptake,2,0.9971770507181099,0.9969734122799488
ARE,max_uptake,3,0.995578168108215,0.9952563103841143
ARE,max_uptake,4,0.9938352755390941,0.9933903432943731
ARE,max_uptake,5,0.9919325835896351,0.9913560294597794
ARE,max_uptake,6,0.9898410088464492,0.9891132018166683
ARE,max_uptake,7,0.9875333424351923,0.986642668617109
ARE,max_uptake,8,0.9850078825340378,0.9839441006838598
ARE,max_uptake,9,0.9822617950399222,0.9810037287865816
ARE,max_uptake,10,0.9792591452668181,0.9777949656257132
ARE,max_uptake,11,0.9759632579010787,0.9742741270600039
ARE,max_uptake,12,0.9723341385063465,0.9704085558860449
ARE,max_uptake,13,0.96837580065557,0.9661920917103449
ARE,max_uptake,14,0.9640673083287766,0.9616084652487865
ARE,max_uptake,15,0.9593737424827761,0.9566226176364622
ARE,mod_uptake,1,0.9986424016986991,0.9985427554690063
ARE,mod_uptake,2,0.9971514205223231,0.9969472941205505
ARE,mod_uptake,3,0.9955435138360083,0.9952211589142868
ARE,mod_uptake,4,0.9937913053094959,0.9933463002914232
ARE,mod_uptake,5,0.9918725244964556,0.9912947532251003
ARE,mod_uptake,6,0.989769869229296,0.989044998974725
ARE,mod_uptake,7,0.9874481734137129,0.9865641132108833
ARE,mod_uptake,8,0.98490730831687,0.983853126640535
ARE,mod_uptake,9,0.9821447974459719,0.980899390676668
ARE,mod_uptake,10,0.979134597634136,0.9776816673200002
ARE,mod_uptake,11,0.9758271113824061,0.9741501789699586
ARE,mod_uptake,12,0.9721869887801214,0.9702749968191091
ARE,mod_uptake,13,0.9682055660736001,0.966045446792826
ARE,mod_uptake,14,0.9638710047933546,0.9614471312091756
ARE,mod_uptake,15,0.9591602635094733,0.9564548717688047
ASM,max_uptake,1,0.9976515425588542,0.9974626614411664
ASM,max_uptake,2,0.9950974480684479,0.9947041897915239
ASM,max_uptake,3,0.9923080201885159,0.9916988875214711
ASM,max_uptake,4,0.9892557435290363,0.9884141124064619
ASM,max_uptake,5,0.9859226527015252,0.9848305543301964
ASM,max_uptake,6,0.9822832199551602,0.9809195990576929
ASM,max_uptake,7,0.9783117767046563,0.9766565895878075
ASM,max_uptake,8,0.9739729316565048,0.9720047096336825
ASM,max_uptake,9,0.9692228260683649,0.9669156458528196
ASM,max_uptake,10,0.964039604581558,0.9613646978813755
ASM,max_uptake,11,0.9583825731120551,0.9553187205349859
ASM,max_uptake,12,0.9522262094608591,0.9487498876816245
ASM,max_uptake,13,0.9455350818620171,0.9416193200663555
ASM,max_uptake,14,0.9382640051031885,0.9338869992649051
ASM,max_uptake,15,0.9303952379109232,0.9255313551258564
ASM,mod_uptake,1,0.9976552803635703,0.997480576345577
ASM,mod_uptake,2,0.9951035496658516,0.9947387078663606
ASM,mod_uptake,3,0.992318925737276,0.9917523845649507
ASM,mod_uptake,4,0.9892715879193237,0.9884871950455191
ASM,mod_uptake,5,0.9859450293292581,0.984925289758725
ASM,mod_uptake,6,0.9823114549804796,0.9810345595909791
ASM,mod_uptake,7,0.9783455635352092,0.9767914297939259
ASM,mod_uptake,8,0.9740099803898229,0.9721580308899346
ASM,mod_uptake,9,0.9692589293676913,0.9670850430165904
ASM,mod_uptake,10,0.9640778382353061,0.9615525735783946
ASM,mod_uptake,11,0.9584200758717557,0.9555223498670956
ASM,mod_uptake,12,0.9522705897758601,0.9489762402745431
ASM,mod_uptake,13,0.9455859595026073,0.9418668047890011
ASM,mod_uptake,14,0.9383186212943992,0.9341549198305338
ASM,mod_uptake,15,0.9304537378065126,0.9258193995167603
ATG,max_uptake,1,0.9972673843635187,0.9970549028626571
ATG,max_uptake,2,0.9942845900484742,0.9938457052926247
ATG,max_uptake,3,0.9910245822214013,0.9903431845605573
ATG,max_uptake,4,0.987447447576007,0.9865069522195171
ATG,max_uptake,5,0.9835280211770653,0.9823071105934424
ATG,max_uptake,6,0.9792313203551618,0.9777061998224149
ATG,max_uptake,7,0.9745238049500138,0.972673251126883
ATG,max_uptake,8,0.969365525738263,0.9671670291659568
ATG,max_uptake,9,0.963707725072164,0.9611334050305603
ATG,max_uptake,10,0.9575211841950647,0.9545349405149237
ATG,max_uptake,11,0.9507704490065009,0.9473381403769235
ATG,max_uptake,12,0.9434155440703687,0.939508135672325
ATG,max_uptake,13,0.935393712275696,0.9309810687944834
ATG,max_uptake,14,0.926681520143038,0.9217291533519187
ATG,max_uptake,15,0.917268216602514,0.9117428403232228
ATG,mod_uptake,1,0.9972665905535714,0.9970870165727193
ATG,mod_uptake,2,0.9942803858584073,0.9939095218654576
ATG,mod_uptake,3,0.991011505358548,0.9904378670828748
ATG,mod_uptake,4,0.9874182580618731,0.9866308693505501
ATG,mod_uptake,5,0.9834762938508465,0.9824597812691743
ATG,mod_uptake,6,0.9791612043005737,0.9778994664052227
ATG,mod_uptake,7,0.9744320240642574,0.9729086151371371
ATG,mod_uptake,8,0.9692511711251596,0.967448964753612
ATG,mod_uptake,9,0.9635556359127405,0.9614584671196704
ATG,mod_uptake,10,0.9573305166109775,0.9549093821983269
ATG,mod_uptake,11,0.9505338900619819,0.9477648364072585
ATG,mod_uptake,12,0.9431367992833065,0.939995270805346
ATG,mod_uptake,13,0.9350683639057973,0.9315300013789986
ATG,mod_uptake,14,0.9263065832631193,0.9223458896040975
ATG,mod_uptake,15,0.9168384883916871,0.9124206180661216
AUS,max_uptake,1,0.9968385644976854,0.99660184594078
AUS,max_uptake,2,0.9933647073974067,0.9928767842273305
AUS,max_uptake,3,0.9895587855203694,0.9888055378860413
AUS,max_uptake,4,0.9853842750324165,0.9843494494789843
AUS,max_uptake,5,0.980807914112464,0.9794682508716027
AUS,max_uptake,6,0.9757779046850621,0.9741100683746784
AUS,max_uptake,7,0.9702375904460127,0.9682196868482982
AUS,max_uptake,8,0.964122852116889,0.9617395416410832
AUS,max_uptake,9,0.9573978904959232,0.954622777201562
AUS,max_uptake,10,0.9500354144279785,0.9468382251411551
AUS,max_uptake,11,0.9419828606411399,0.9383301676235335
AUS,max_uptake,12,0.9331808788766809,0.9290420538449826
AUS,max_uptake,13,0.9235482578060181,0.9188971357178952
AUS,max_uptake,14,0.9130577724009472,0.907876888586511
AUS,max_uptake,15,0.9016563723747019,0.8959234731006983
AUS,mod_uptake,1,0.9968262284484264,0.9965736441487291
AUS,mod_uptake,2,0.9933305981955677,0.9928116139798869
AUS,mod_uptake,3,0.9895015433964454,0.988700267082833
AUS,mod_uptake,4,0.9852949715891923,0.9841918111807352
AUS,mod_uptake,5,0.9806857014715604,0.979256737422716
AUS,mod_uptake,6,0.9756115415649488,0.97383210309226
AUS,mod_uptake,7,0.9700176284337174,0.9678620861952257
AUS,mod_uptake,8,0.9638346574986182,0.961282339338164
AUS,mod_uptake,9,0.9570367973671082,0.9540593646695626
AUS,mod_uptake,10,0.9495802581041999,0.9461400908412668
AUS,mod_uptake,11,0.9414154750939318,0.9374801171507373
AUS,mod_uptake,12,0.9325003337533138,0.9280275868193812
AUS,mod_uptake,13,0.9227346808028588,0.9176997444311448
AUS,mod_uptake,14,0.9120921513147969,0.9064762193618892
AUS,mod_uptake,15,0.9005113477656583,0.8942848576481737
AUT,max_uptake,1,0.9952634566819327,0.9948162635101365
AUT,max_uptake,2,0.9900579513058919,0.9891352435197932
AUT,max_uptake,3,0.9843682076087277,0.9829533944612702
AUT,max_uptake,4,0.9781536035945032,0.9762013024950627
AUT,max_uptake,5,0.9714343670002117,0.9689312903138376
AUT,max_uptake,6,0.9642055447269049,0.9611052008939385
AUT,max_uptake,7,0.9563262430119295,0.9525910922465893
AUT,max_uptake,8,0.9477262689573364,0.9433297312075419
AUT,max_uptake,9,0.9383339197518064,0.9332184762694871
AUT,max_uptake,10,0.9281293732189552,0.9222473333391957
AUT,max_uptake,11,0.9170223371223497,0.910331344586913
AUT,max_uptake,12,0.9049370629353105,0.8973936774942616
AUT,max_uptake,13,0.8918895135899618,0.8834441972437653
AUT,max_uptake,14,0.8778094039617962,0.8684197946932919
AUT,max_uptake,15,0.8627298950600613,0.852357487670765
AUT,mod_uptake,1,0.9953495965592041,0.9949538785687977
AUT,mod_uptake,2,0.9902657268744359,0.9894542842630035
AUT,mod_uptake,3,0.984651308096654,0.9834262877150487
AUT,mod_uptake,4,0.9785605491192988,0.9768762193980198
AUT,mod_uptake,5,0.9719638458685531,0.9698092054164517
AUT,mod_uptake,6,0.9648588025391441,0.9622022178877749
AUT,mod_uptake,7,0.9571161663250655,0.953911037646972
AUT,mod_uptake,8,0.9486453406306243,0.9448774664245627
AUT,mod_uptake,9,0.9394005880091297,0.9350205223741174
AUT,mod_uptake,10,0.9293512428985189,0.9243041954790652
AUT,mod_uptake,11,0.9184479419677499,0.9126893839198941
AUT,mod_uptake,12,0.9065795151471995,0.9000726568984848
AUT,mod_uptake,13,0.8937038011140617,0.8864287927482329
AUT,mod_uptake,14,0.8798291901942731,0.8717378713482904
AUT,mod_uptake,15,0.8649374588553754,0.8560085679973455
BEL,max_uptake,1,0.995320859552441,0.994850549369383
BEL,max_uptake,2,0.9901419012107686,0.9891771481189872
BEL,max_uptake,3,0.9844775039887972,0.9829759694237539
BEL,max_uptake,4,0.9782832529730402,0.976213628551391
BEL,max_uptake,5,0.9715426466593472,0.9688689735253757
BEL,max_uptake,6,0.964248127851159,0.9609265648111481
BEL,max_uptake,7,0.9562542687610287,0.9522515891116692
BEL,max_uptake,8,0.9475579443855736,0.9428364802483347
BEL,max_uptake,9,0.9381247943429095,0.932630736301867
BEL,max_uptake,10,0.9279049963278568,0.9215884300048279
BEL,max_uptake,11,0.9168944877983485,0.9096968900623597
BEL,max_uptake,12,0.9049091147014702,0.8967695004522994
BEL,max_uptake,13,0.89198048408359,0.8828501575547273
BEL,max_uptake,14,0.8780810691459308,0.8679021973168886
BEL,max_uptake,15,0.8632136993822113,0.8519451449827709
BEL,mod_uptake,1,0.9954349852546956,0.9950298965570987
BEL,mod_uptake,2,0.990393960137932,0.9895693059146119
BEL,mod_uptake,3,0.9848679338343928,0.9835861544819271
BEL,mod_uptake,4,0.9788132599981021,0.9770546362887608
BEL,mod_uptake,5,0.972230324293726,0.969962353652295
BEL,mod_uptake,6,0.9651018714245422,0.9622887268090142
BEL,mod_uptake,7,0.95730366127389,0.9539151425175459
BEL,mod_uptake,8,0.9488079683258965,0.9448140436689166
BEL,mod_uptake,9,0.939589100487059,0.9349485432432871
BEL,mod_uptake,10,0.92959664817922,0.9242686583900476
BEL,mod_uptake,11,0.9188352266720724,0.9127692544382113
BEL,mod_uptake,12,0.9071123749319525,0.9002585056323944
BEL,mod_uptake,13,0.8944688414621268,0.886784812523136
BEL,mod_uptake,14,0.8808956894063259,0.872334716725487
BEL,mod_uptake,15,0.8663519423406337,0.856885767740472
BHR,max_uptake,1,0.9983781721152462,0.998263876756373
BHR,max_uptake,2,0.9965905651089891,0.9963510076462244
BHR,max_uptake,3,0.9946404839412057,0.994269954159637
BHR,max_uptake,4,0.9925213958248803,0.9920069226277012
BHR,max_uptake,5,0.9901991370914687,0.9895278841815355
BHR,max_uptake,6,0.987637078773374,0.9867968644618157
BHR,max_uptake,7,0.984814990776173,0.983784783098655
BHR,max_uptake,8,0.9817083893616818,0.9804758442235716
BHR,max_uptake,9,0.9783170865619248,0.9768704067594424
BHR,max_uptake,10,0.9746254778217195,0.9729407762630464
BHR,max_uptake,11,0.9705614704423489,0.9686210510542318
BHR,max_uptake,12,0.9660908735178733,0.963876036145358
BHR,max_uptake,13,0.9611886279030538,0.9586806149359145
BHR,max_uptake,14,0.9558431817015719,0.9530240059306069
BHR,max_uptake,15,0.950046613631769,0.946894189667298
BHR,mod_uptake,1,0.9983985793542643,0.9982745025509282
BHR,mod_uptake,2,0.9966407777818711,0.9963761762936734
BHR,mod_uptake,3,0.9947173256284947,0.9943076557383325
BHR,mod_uptake,4,0.9926327403012446,0.9920619336674711
BHR,mod_uptake,5,0.9903485255797354,0.989600927003807
BHR,mod_uptake,6,0.9878253478365808,0.9868907646175598
BHR,mod_uptake,7,0.9850438069762992,0.9838947419921771
BHR,mod_uptake,8,0.9819821590361105,0.9806079273086896
BHR,mod_uptake,9,0.9786439054998617,0.9770286572299314
BHR,mod_uptake,10,0.9750095188263862,0.9731279099180415
BHR,mod_uptake,11,0.9710115001227967,0.9688452593853802
BHR,mod_uptake,12,0.9666110837117374,0.9641417638588486
BHR,mod_uptake,13,0.9617839941169058,0.9589814907838896
BHR,mod_uptake,14,0.956531554146691,0.9533738115556417
BHR,mod_uptake,15,0.9508202246267089,0.9472888065073355
BHS,max_uptake,1,0.997706502033532,0.9974718437049882
BHS,max_uptake,2,0.9952037779982961,0.9947202757570943
BHS,max_uptake,3,0.9924732286020761,0.9917200498518757
BHS,max_uptake,4,0.9894792892691614,0.9884352004118563
BHS,max_uptake,5,0.9862040907558001,0.9848420671886733
BHS,max_uptake,6,0.9826218096368454,0.9809142338881761
BHS,max_uptake,7,0.9787100919507208,0.9766285156608042
BHS,max_uptake,8,0.9744324188210803,0.9719473184399168
BHS,max_uptake,9,0.969747954278055,0.9668238900776767
BHS,max_uptake,10,0.9646295411526774,0.9612305286169818
BHS,max_uptake,11,0.9590484320759999,0.955138778637617
BHS,max_uptake,12,0.952973787495343,0.9485136891804955
BHS,max_uptake,13,0.9463724756639751,0.9413238694112183
BHS,max_uptake,14,0.9391978949817585,0.9335312668402421
BHS,max_uptake,15,0.9314431409417406,0.9251177035827799
