panel,spec,label,uptake,step,value_Mt,n_countries,population_2022,per_capita_t,per_capita_kg
A_1yr_no_mortality,baseline_mean_ci,Baseline,max_uptake,naive_reductions,113.20230468420749,53,1208896546.5,0.09364101916905218,93.64101916905219
A_1yr_no_mortality,baseline_mean_ci,Baseline,max_uptake,rebound_effect,58.974185742949516,53,1208896546.5,0.0487834843384173,48.7834843384173
A_1yr_no_mortality,baseline_mean_ci,Baseline,max_uptake,actual_food_savings,54.22811894125797,53,1208896546.5,0.04485753483063488,44.857534830634876
A_1yr_no_mortality,baseline_mean_ci,Baseline,max_uptake,manufacturing,1.3326121641356403,53,1208896546.5,0.0011023376383974476,1.1023376383974475
A_1yr_no_mortality,baseline_mean_ci,Baseline,max_uptake,net_savings,52.89550677712233,53,1208896546.5,0.04375519719223743,43.75519719223743
B_10yr_with_survivorship,baseline_mean_ci,Baseline,max_uptake,naive_reductions,1067.6286032962093,40,1184637982.0,0.9012277332976897,901.2277332976897
B_10yr_with_survivorship,baseline_mean_ci,Baseline,max_uptake,rebound_effect,553.3859883802711,40,1184637982.0,0.4671351052293637,467.1351052293638
B_10yr_with_survivorship,baseline_mean_ci,Baseline,max_uptake,actual_food_savings,514.2426149159382,40,1184637982.0,0.434092628068326,434.09262806832595
B_10yr_with_survivorship,baseline_mean_ci,Baseline,max_uptake,survivorship,271.6113939949046,40,1184637982.0,0.22927797193902955,229.27797193902953
B_10yr_with_survivorship,baseline_mean_ci,Baseline,max_uptake,manufacturing,12.477086478018869,40,1184637982.0,0.010532404555317447,10.532404555317449
B_10yr_with_survivorship,baseline_mean_ci,Baseline,max_uptake,net_savings,230.1541344430148,40,1184637982.0,0.194282251573979,194.28225157397898
A_1yr_no_mortality,baseline_mean_ci,Baseline,mod_uptake,naive_reductions,58.176597580687556,53,1208896546.5,0.04812371889813117,48.123718898131166
A_1yr_no_mortality,baseline_mean_ci,Baseline,mod_uptake,rebound_effect,30.394579455113583,53,1208896546.5,0.025142415654269206,25.142415654269207
A_1yr_no_mortality,baseline_mean_ci,Baseline,mod_uptake,actual_food_savings,27.78201812557397,53,1208896546.5,0.02298130324386196,22.98130324386196
A_1yr_no_mortality,baseline_mean_ci,Baseline,mod_uptake,manufacturing,0.6970286943713602,53,1208896546.5,0.0005765825838359777,0.5765825838359776
A_1yr_no_mortality,baseline_mean_ci,Baseline,mod_uptake,net_savings,27.084989431202608,53,1208896546.5,0.02240472066002598,22.404720660025983
B_10yr_with_survivorship,baseline_mean_ci,Baseline,mod_uptake,naive_reductions,548.007131384912,40,1184637982.0,0.46259459827526617,462.59459827526615
B_10yr_with_survivorship,baseline_mean_ci,Baseline,mod_uptake,rebound_effect,284.8184123892065,40,1184637982.0,0.24042654103353453,240.42654103353453
B_10yr_with_survivorship,baseline_mean_ci,Baseline,mod_uptake,actual_food_savings,263.1887189957055,40,1184637982.0,0.2221680572417317,222.16805724173167
B_10yr_with_survivorship,baseline_mean_ci,Baseline,mod_uptake,survivorship,143.66638955211727,40,1184637982.0,0.121274508951307,121.27450895130698
B_10yr_with_survivorship,baseline_mean_ci,Baseline,mod_uptake,manufacturing,6.521615822057919,40,1184637982.0,0.005505155094763727,5.505155094763726
B_10yr_with_survivorship,baseline_mean_ci,Baseline,mod_uptake,net_savings,113.00071362153034,40,1184637982.0,0.09538839319566096,95.38839319566097
