spec,label,group,uptake,before_gross_ratio,after_net_ratio,n_tipped,n_countries,food_gross_10yr_Mt,food_net_10yr_Mt,survivor_10yr_Mt,drug_10yr_Mt
baseline_mean_ci,Baseline,Baseline,max_uptake,1.8933028079285414,1.8473655359514574,0,40,514.2426149159382,501.76552843791933,271.6113939949046,12.477086478018869
baseline_mean_ci,Baseline,Baseline,mod_uptake,1.831943572997146,1.786549407789896,0,40,263.1887189957055,256.6671031736476,143.66638955211727,6.521615822057919
fatty_food_down_mean_ci,Fatty foods down,Diet composition,max_uptake,2.3793484939838887,2.3334112220068057,0,40,646.2581612506409,633.7810747726222,271.6113939949046,12.477086478018869
fatty_food_down_mean_ci,Fatty foods down,Diet composition,mod_uptake,2.2994134894535625,2.254019324246313,0,40,330.3484341172288,323.8268182951709,143.66638955211727,6.521615822057919
cereal_sweets_up_mean_ci,Cereals/sweets shift,Diet composition,max_uptake,1.2933818195125388,1.2474445475354545,5,40,351.29723896546676,338.8201524874478,271.6113939949046,12.477086478018869
cereal_sweets_up_mean_ci,Cereals/sweets shift,Diet composition,mod_uptake,1.252492005137859,1.2070978399306092,5,40,179.94100432104807,173.41938849899017,143.66638955211727,6.521615822057919
baseline_p10_ci,All foods P10 CI,Carbon intensity,max_uptake,1.1135631069259349,1.0541795807364474,9,40,233.9710029935172,221.49391651549837,210.11023222510462,12.477086478018869
baseline_p10_ci,All foods P10 CI,Carbon intensity,mod_uptake,1.0767943214452256,1.0181549143947115,9,40,119.7563078663117,113.23469204425376,111.21558266167312,6.521615822057919
baseline_p90_ci,All foods P90 CI,Carbon intensity,max_uptake,2.600064072772556,2.5662337703031177,0,40,958.9398236589782,946.4627371809593,368.813920280211,12.477086478018869
baseline_p90_ci,All foods P90 CI,Carbon intensity,mod_uptake,2.517017101294394,2.4835661878402373,0,40,490.71959050350017,484.1979746814423,194.96076933730174,6.521615822057919
cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,Combined conservative,max_uptake,0.7528397946164654,0.6934562684269776,21,40,158.17934407516563,145.70225759714674,210.11023222510462,12.477086478018869
cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,Combined conservative,mod_uptake,0.7285598120444458,0.669920404993932,21,40,81.0272040004021,74.50558817834418,111.21558266167312,6.521615822057919
