ISO,scenario,diff_Y0,diff_Y1,diff_Y2,diff_Y3,diff_Y4,diff_Y5,diff_Y6,diff_Y7,diff_Y8,diff_Y9,diff_Y10,total_person_years_saved,emissions_factor_Y0,total_emissions,emissions_factor_Y1,emissions_Y1,emissions_factor_Y2,emissions_Y2,emissions_factor_Y3,emissions_Y3,emissions_factor_Y4,emissions_Y4,emissions_factor_Y5,emissions_Y5,emissions_factor_Y6,emissions_Y6,emissions_factor_Y7,emissions_Y7,emissions_factor_Y8,emissions_Y8,emissions_factor_Y9,emissions_Y9,emissions_factor_Y10,emissions_Y10
USA,max_uptake,0.0,140327.3374,265190.56070000003,421500.34459999995,539805.067,708024.1193,860584.8743999999,1036209.8697999999,1189820.1763,1360659.9560000002,1506203.391,8028325.6965,13.901284979493148,103964735.64435472,13.762272129698216,1931223.004534778,13.624649408401234,3613128.415954847,13.488402914317222,5685366.476488353,13.353518885174049,7208297.156497143,13.21998369632231,9360067.313748961,13.087783859359085,11263148.828780884,12.956906020765494,13426073.900788248,12.827336960557838,15262224.323870433,12.69906359095226,17279107.30690631,12.572072955042737,18936098.916784763
USA,mod_uptake,0.0,58549.7626,128418.6684,209541.7918,267952.0541,332037.2385,418022.1562999999,509407.93549999996,587579.6435999998,705506.6210999999,783588.7927,4000604.6646,13.901284979493148,51768476.27991793,13.762272129698216,805777.766030427,13.624649408401234,1749659.3344437343,13.488402914317222,2826384.115186373,13.353518885174049,3578102.8147455286,13.21998369632231,4389526.879541882,13.087783859359085,5470983.63007762,12.956906020765494,6600350.74650567,12.827336960557838,7537082.07962168,12.69906359095226,8959273.44518676,12.572072955042737,9851335.468578259
DEU,max_uptake,0.0,14660.911000000002,38066.3191,57242.46460000001,78413.661,95743.4529,114946.16380000001,141108.9905,161682.1883,180657.44360000003,197025.7603,1079547.3551,6.948000464780765,6988954.050782314,6.8785204601329575,100845.37627768835,6.809735255531628,259221.555223587,6.741637902976311,385907.9690071398,6.6742215239465486,523350.144017648,6.607479308707083,632622.8839809211,6.541404515620012,751909.3549345175,6.475990470463811,913820.4777747686,6.4112305657591735,1036581.7875677902,6.347118260101582,1146654.159096832,6.283647077500566,1238040.342901422
CAN,max_uptake,0.0,9160.0218,20053.579299999998,27643.9894,37009.3223,43861.60919999999,55495.6075,66893.07690000001,75797.7829,85677.00059999998,94614.76490000001,516206.7548,14.345359799562331,6902741.545890063,14.201906201566707,130089.77040790624,14.05988713955104,281951.06170203694,13.91928826815553,384784.6573404358,13.780095385473974,509991.991445749,13.642294431619234,598372.9869510189,13.505871487303041,749516.5430048108,13.37081277243001,894414.8070016631,13.23710464470571,1003343.184083985,13.104733598258653,1122774.2683608464,12.973686262276066,1227502.27559161
POL,max_uptake,0.0,16782.1221,31528.460600000002,47289.3679,62079.01599999999,79000.17210000001,92983.18220000001,110160.796,125097.2334,140410.7892,152413.93459999998,857745.0741000001,7.820318898449827,6255638.89019024,7.742115709465328,129929.13114857527,7.664694552370675,241656.0202054535,7.588047606846969,358833.97492290084,7.512167130778499,466347.94350627245,7.437045459470714,587527.87121371,7.3626750048760075,684604.9514577718,7.2890482548272475,802967.3578341805,7.216157772278975,902721.373090007,7.143996194556185,1003094.1437194307,7.072556232610623,1077956.1230919377
AUS,max_uptake,0.0,5138.755899999999,10954.412,16016.807,20615.620000000003,25950.6781,32230.7159,38029.70970000001,45749.4172,52326.8097,58915.245099999986,305928.1706,14.017916406984533,3994210.696519331,13.877737242914687,71314.30413567756,13.738959870485541,150502.22687276526,13.601570271780686,217853.7259400488,13.46555456906288,277600.7560850641,13.33089902337225,345945.8693391377,13.197590033138528,425367.7749227595,13.065614132807143,496881.512522873,12.934957991479072,591766.7896166502,12.80560841156428,670076.6344446434,12.677552327448637,746901.1026397117
DEU,mod_uptake,0.0,10713.1024,18843.9745,32478.6354,42789.362,54641.00630000001,66649.2384,77429.80309999999,89369.15569999997,104566.1128,113342.06120000003,610822.4518,6.948000464780765,3953872.524652808,6.8785204601329575,73690.29404989949,6.809735255531628,128322.47750698897,6.741637902976311,218959.1994495882,6.6742215239465486,285585.68085634056,6.607479308707083,361039.3185341834,6.541404515620012,435979.6290323947,6.475990470463811,501434.66700548923,6.4112305657591735,572966.2626599305,6.347118260101582,663693.4839407218,6.283647077500566,712201.5116172705
GBR,max_uptake,0.0,17834.5566,31794.900899999997,47860.7579,67337.039,80850.5315,101156.85930000001,116579.23629999999,133267.82320000004,148911.73109999998,174190.3702,919783.806,4.410782281142323,3781214.928249648,4.3666744583309,77877.70278087677,4.323007713747591,137449.60184854022,4.279777636610115,204833.40133163088,4.236979860244014,285305.6780914657,4.194610061641574,339136.452918969,4.152663961025158,420070.4440256026,4.111137321414906,479273.2492549773,4.070025948200756,542403.498484231,4.029325688718749,600013.8634728085,3.989032431831561,694851.0360405459
SAU,max_uptake,0.0,3543.6264999999994,6158.850499999999,9938.0504,12283.4748,15613.8988,19916.703600000004,24926.031499999997,31142.3119,36400.1057,41306.1346,201229.18829999998,18.482585283667365,3459282.090861402,18.29775943083069,64840.425209716544,18.114781836522383,111566.23317125677,17.933634018157157,178225.35872760034,17.754297677975586,218084.46811911164,17.57675470119583,274441.669136896,17.400987154183873,346570.3034972878,17.226977282642036,429400.17839691974,17.054707509815614,531123.0206339501,16.884160434717458,614585.2244794734,16.715318830370283,690445.2094891894
POL,mod_uptake,0.0,7719.6683,14467.599900000001,22213.5172,31436.403899999998,40251.145,47512.1696,57617.005900000004,66872.5321,74009.24410000001,80992.854,443092.14,7.820318898449827,3228619.4553115265,7.742115709465328,59766.56521729151,7.664694552370675,110889.73413940854,7.588047606846969,168557.22602911395,7.512167130778499,236155.520087457,7.437045459470714,299349.5951607473,7.3626750048760075,349816.6635413497,7.2890482548272475,419973.1363037662,7.216157772278975,482562.74226539023,7.143996194556185,528721.7582123799,7.072556232610623,572826.5143546222
