ISO,scenario,diff_Y0,diff_Y1,diff_Y2,diff_Y3,diff_Y4,diff_Y5,diff_Y6,diff_Y7,diff_Y8,diff_Y9,diff_Y10,total_person_years_saved,emissions_factor_Y0,total_emissions,emissions_factor_Y1,emissions_Y1,emissions_factor_Y2,emissions_Y2,emissions_factor_Y3,emissions_Y3,emissions_factor_Y4,emissions_Y4,emissions_factor_Y5,emissions_Y5,emissions_factor_Y6,emissions_Y6,emissions_factor_Y7,emissions_Y7,emissions_factor_Y8,emissions_Y8,emissions_factor_Y9,emissions_Y9,emissions_factor_Y10,emissions_Y10,oecd_nonfood_ghg_t_per_capita,food_add_back_t_per_capita
AND,max_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AND,mod_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARE,max_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.794066683645188,0.0,16.794066683645188,0.0,16.794066683645188,0.0,16.794066683645188,0.0,16.794066683645188,0.0,16.794066683645188,0.0,16.794066683645188,0.0,16.794066683645188,0.0,16.794066683645188,0.0,16.794066683645188,0.0,16.794066683645188,0.0,12.116378825740254,4.677687857904934
ARE,mod_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.83368305383981,0.0,16.83368305383981,0.0,16.83368305383981,0.0,16.83368305383981,0.0,16.83368305383981,0.0,16.83368305383981,0.0,16.83368305383981,0.0,16.83368305383981,0.0,16.83368305383981,0.0,16.83368305383981,0.0,16.83368305383981,0.0,12.116378825740254,4.7173042280995565
ASM,max_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ASM,mod_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ATG,max_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ATG,mod_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AUS,max_uptake,0.0,4280.817003793823,8683.793587579308,13210.820310834844,17876.128412585917,22785.191783230523,27946.372395781607,33267.8645933553,38738.07695196459,44422.62064613628,50357.61781384984,261569.303499112,20.022211076679845,5237195.805839353,20.022211076679845,85711.4216306001,20.022211076679845,173868.74815683183,20.022211076679845,264509.8327596245,20.022211076679845,357919.61631062906,20.022211076679845,456209.91930647276,20.022211076679845,559548.1669358384,20.022211076679845,666096.2069585636,20.022211076679845,775621.9534369017,20.022211076679845,889439.0871562166,20.022211076679845,1008270.8531876747,12.314842596849754,7.70736847983009
AUS,mod_uptake,0.0,2354.5109935890496,4766.846772417975,7223.742139182905,9726.887212244985,12372.018581784348,15156.647586992229,18018.903503125588,20985.06236638909,24054.130276161504,27257.78745740435,141916.536889292,19.99996728125452,2838326.0944547905,19.99996728125452,47090.14283513506,19.99996728125452,95336.77948311322,19.99996728125452,144474.60643187762,19.99996728125452,194537.4259933527,19.99996728125452,247439.96683875992,19.99996728125452,303132.45583334984,19.99996728125452,360377.48050659423,19.99996728125452,419700.5607228674,19.99996728125452,481081.81850226386,19.99996728125452,545154.8573074768,12.314842596849754,7.685124684404767
AUT,max_uptake,0.0,1272.1233974983984,2579.0323736199025,3915.71222577028,5288.670491451725,6725.35136073072,8209.363306419757,9713.984723567484,11255.450432884612,12808.010914379398,14420.768063492747,76188.46728981503,12.66016827149204,964558.8162361252,12.66016827149204,16105.29627443188,12.66016827149204,32650.983827653494,12.66016827149204,49573.575680990376,12.66016827149204,66955.45835425334,12.66016827149204,85144.07991175889,12.66016827149204,103931.92086108639,12.66016827149204,122980.68118706744,12.66016827149204,142495.89645175711,12.66016827149204,162151.5733991498,12.66016827149204,182569.3502879766,6.613142420849635,6.047025850642406
AUT,mod_uptake,0.0,690.5665610028868,1397.6236540576356,2128.650120862675,2871.327580516189,3648.423735031881,4441.914875218986,5244.514292009017,6059.706376435404,6882.588931504632,7735.579545870144,41100.89567250945,12.67548652983509,520973.84946105094,12.67548652983509,8753.267141946635,12.67548652983509,17715.559800786457,12.67548652983509,26981.675933726674,12.67548652983509,36395.474069576936,12.67548652983509,46245.54590852724,12.67548652983509,56303.43216751237,12.67548652983509,66476.77026388791,12.67548652983509,76809.72654926278,12.67548652983509,87240.16329167904,12.67548652983509,98052.23433414486,6.613142420849635,6.062344108985456
BEL,max_uptake,0.0,2054.445537156339,4171.481433769206,6338.852635101684,8541.286467424095,10839.451589379065,13215.026199942457,15643.53057912251,18099.422581081337,20560.318974051093,23099.60808740729,122563.42408443509,13.065650711275609,1601370.889065173,13.065650711275609,26842.667793823723,13.065650711275609,54503.11936219962,13.065650711275609,82821.23444048759,13.065650711275609,111597.46560830837,13.065650711275609,141624.48836860812,13.065650711275609,172662.91646880397,13.065650711275609,204392.90643797375,13.065650711275609,236480.7335201832,13.065650711275609,268633.94622736407,13.065650711275609,301811.41083742084,7.033350455512971,6.032300255762638
BEL,mod_uptake,0.0,1082.5395432499736,2193.187858491601,3342.494134045396,4516.133511651382,5736.292566408944,6996.700721836096,8291.593106703967,9600.30453489343,10920.631159964114,12284.862367766718,64964.739505011625,13.034900409343397,846808.9095667631,13.034900409343397,14110.795135439494,13.034900409343397,28587.98531441914,13.034900409343397,43569.078156096235,13.034900409343397,58867.35055967403,13.034900409343397,74772.00232199744,13.034900409343397,91201.29710311457,13.034900409343397,108080.09038068443,13.034900409343397,125139.01351170364,13.034900409343397,142349.3395773045,13.034900409343397,160131.9575063297,7.033350455512971,6.001549953830425
BHR,max_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BHR,mod_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BHS,max_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BHS,mod_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BMU,max_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BMU,mod_uptake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
