ISO,Country,tonnage_before,ci_before,emis_before,ci_after,emis_after,tonnage_after,observed_delta_mt,expected_delta_mt,gap,tonnage_unchanged
ARE,United Arab Emirates,338.0,5.69531,1.92501478,5.713913,1.9313025939999997,338.0,0.006287813999999781,0.0062878139999998995,-1.1882855810441129e-16,True
ATG,Antigua and Barbuda,1.0,4.5,0.0045,5.286,0.005286,1.0,0.0007860000000000002,0.0007859999999999996,6.505213034913027e-19,True
AUS,Australia,1043.0,4.913866,5.125162238,5.042731,5.259568433,1043.0,0.1344061950000004,0.13440619500000023,1.6653345369377348e-16,True
AUT,Austria,529.0,4.956059,2.621755211,5.097212,2.6964251479999994,529.0,0.07466993699999946,0.07466993700000005,-5.828670879282072e-16,True
BEL,Belgium,859.0,5.572216,4.786533544000001,5.714959,4.909149781,859.0,0.12261623699999902,0.12261623700000024,-1.2212453270876722e-15,True
BHR,Bahrain,54.0,5.084744,0.274576176,5.142967,0.277720218,54.0,0.0031440420000000135,0.0031440419999999953,1.8214596497756474e-17,True
BHS,Bahamas,12.0,4.887821,0.058653852,5.149821,0.061797852,12.0,0.003144000000000001,0.0031440000000000053,-4.336808689942018e-18,True
BRB,Barbados,11.0,5.172168,0.056893848,5.172168,0.056893848,11.0,0.0,0.0,0.0,True
CAN,Canada,2026.0,4.987703,10.105086277999998,5.11728,10.36760928,2026.0,0.2625230020000018,0.2625230020000005,1.27675647831893e-15,True
CHE,Switzerland,327.0,5.106211,1.669730997,5.255238,1.718462826,327.0,0.04873182900000006,0.04873182900000008,-2.0816681711721685e-17,True
CHL,Chile,440.0,6.863203,3.0198093200000002,6.922153,3.04574732,440.0,0.025937999999999573,0.025937999999999732,-1.5959455978986625e-16,True
CYP,Cyprus,34.0,4.537037,0.15425925799999998,4.583272,0.155831248,34.0,0.001571990000000023,0.0015719900000000083,1.474514954580286e-17,True
CZE,Czechia,573.0,5.77984,3.31184832,5.86763,3.36215199,573.0,0.05030366999999991,0.05030367000000002,-1.1102230246251565e-16,True
DEU,Germany,3521.0,4.486607,15.797343246999999,4.626573,16.290163532999998,3521.0,0.49282028599999883,0.49282028599999783,9.992007221626409e-16,True
DNK,Denmark,170.0,6.613418,1.1242810600000002,6.724382,1.1431449400000002,170.0,0.018863880000000055,0.01886388000000001,4.5102810375396984e-17,True
ESP,Spain,1743.0,4.763627,8.303001861,4.834425,8.426402775,1743.0,0.12340091399999942,0.1234009140000014,-1.9845236565174673e-15,True
EST,Estonia,58.0,4.379365,0.25400317,4.514881999999999,0.261863156,58.0,0.007859985999999985,0.007859985999999954,3.122502256758253e-17,True
FIN,Finland,172.0,4.642971,0.7985910120000002,4.784634,0.8229570479999999,172.0,0.024366035999999758,0.024366035999999903,-1.457167719820518e-16,True
FRA,France,2952.0,4.956314,14.631038928,4.992259,14.737148568,2952.0,0.10610963999999967,0.10610963999999969,-1.3877787807814457e-17,True
GBR,United Kingdom of Great Britain and Northern Ireland,2259.0,4.951871,11.186276589,5.101834,11.525043005999999,2259.0,0.33876641699999865,0.3387664170000012,-2.55351295663786e-15,True
GRC,Greece,683.0,5.067017,3.460772611,5.111898,3.4914263340000002,683.0,0.030653723000000355,0.03065372300000012,2.3592239273284576e-16,True
GUY,Guyana,15.0,5.545333,0.083179995,5.702533,0.08553799499999999,15.0,0.002357999999999985,0.0023579999999999938,-8.673617379884035e-18,True
HRV,Croatia,144.0,5.128265,0.7384701599999999,5.204681,0.7494740639999999,144.0,0.011003904000000064,0.011003904000000005,5.898059818321144e-17,True
HUN,Hungary,372.0,5.067872,1.885248384,5.361566,1.994502552,372.0,0.10925416799999987,0.10925416799999979,8.326672684688674e-17,True
IRL,Ireland,183.0,5.321921,0.9739115429999998,5.437889,0.995133687,183.0,0.02122214400000022,0.021222144000000092,1.2836953722228372e-16,True
