ISO3,Country,total_pop,child_pop,adult_pop_wpp,child_share_total,mean_daily_kcal_per_child
ARE,United Arab Emirates,10242086.5,1948099.5,8293987,0.19020533560227207,1834.8209231612657
ATG,Antigua and Barbuda,92840,21008.5,71831.5,0.226287160706592,1951.3548801675513
AUS,Australia,26200984.5,5717555.5,20483429,0.21821910928575985,1907.5400318370325
AUT,Austria,9064677,1561994.5,7502682.5,0.17231661977586185,1893.7438515308472
BEL,Belgium,11641820,2322533,9319287,0.19949913329702745,1930.6472202978387
BHR,Bahrain,1533459,344258.5,1189200.5,0.22449801396711616,1869.5847263030541
BHS,Bahamas,397538.5,91482.5,306056,0.2301223655067371,1965.6990025414698
BRB,Barbados,282318,60722.5,221595.5,0.21508547099370215,1932.5360204207666
CAN,Canada,38821259,7280626.5,31540632.5,0.18754225616433512,1923.0624831530638
CHE,Switzerland,8792182,1579811,7212371,0.17968360982518333,1890.016475072018
CHL,Chile,19553036.5,4187006.5,15366030,0.21413587091703123,1938.830389205271
CYP,Cyprus,1331370,252533,1078837,0.18967905240466587,1862.6892821928222
CZE,Czechia,10673213,2028413.5,8644799.5,0.1900471301378507,1899.173702748478
DEU,Germany,84086227,13969983.5,70116243.5,0.16613878394139386,1881.7342680111253
DNK,Denmark,5902903.5,1153742,4749161.5,0.1954533053098361,1925.8693356053607
ESP,Spain,47828382.5,8006825.5,39821557,0.16740740709765797,1986.1871234111447
EST,Estonia,1350091.5,262759.5,1087332,0.19462347551999254,1922.472791659293
FIN,Finland,5569299,1032938,4536361,0.18547002055375372,1963.3856901382271
FRA,France,66277408.5,13754275.5,52523133,0.20752584947554187,1944.3030200681962
GBR,United Kingdom,68179315.5,14393020,53786295.5,0.21110537550057978,1921.7341397774755
GRC,Greece,10412480,1759966,8652514,0.16902467039552538,1967.483361894491
GUY,Guyana,821637,284547,537090,0.34631716926087797,1857.7936228461379
HRV,Croatia,3907027,679864,3227163,0.1740105712092596,1950.4779485308827
HUN,Hungary,9684305.5,1708452.5,7975853,0.17641456065176794,1911.3940896805734
IRL,Ireland,5110015.5,1197193.5,3912822,0.23428373162468882,1939.6864111774746
ISL,Iceland,380355.5,84049,296306.5,0.22097485115898152,1913.5413449297434
ISR,Israel,9103151,2966048.5,6137102.5,0.32582657367761997,1848.4815405075137
ITA,Italy,59619114.5,9111215,50507899.5,0.15282372233153513,1979.6565612818927
JPN,Japan,124997578,18194503.5,106803074.5,0.1455588483482456,1968.528164426141
KNA,Saint Kitts and Nevis,46709.5,10547.5,36162,0.22581059527505112,1896.652382081062
KOR,Republic of Korea,51782511.5,7255543,44526968.5,0.1401157029627657,2005.6851828319398
KWT,Kuwait,4589510.5,1041273.5,3548237,0.22688116739247027,1897.0254486453366
LTU,Lithuania,2816919.5,502604,2314315.5,0.17842327407652225,1898.2726629712458
LUX,Luxembourg,653312.5,124009.5,529303,0.18981651200612265,1897.6019054991755
LVA,Latvia,1881063,358651,1522412,0.19066400221576843,1913.6325104349353
MLT,Malta,528192,82857,445335,0.15686909305707017,1890.3237445236975
NLD,Netherlands,17904421,3344171.5,14560249.5,0.1867790921582999,1925.2761740837752
NOR,Norway,5456801.5,1110317,4346484.5,0.20347395814196284,1940.2223950457392
NRU,Nauru,11801,5213.5,6587.5,0.44178459452588764,1851.3829481154694
NZL,New Zealand,5131734.5,1148442.5,3983292,0.22379226750721418,1920.690933155121
OMN,Oman,4730226,1404965,3325261,0.29701857797069314,1789.880927282886
PAN,Panama,4400773,1347279,3053494,0.3061459884433939,1893.9033663406021
POL,Poland,38385739,7026952,31358787,0.18306152709473691,1923.2566256322798
PRT,Portugal,10417072.5,1665814.5,8751258,0.15991196182996711,1951.6255027195405
PYF,French Polynesia,280378,70031,210347,0.24977352003366884,1985.8848509945597
QAT,Qatar,2892455,503431.5,2389023.5,0.17404989878839947,1806.120080884887
ROU,Romania,19166772.5,3721169.5,15445603,0.1941469018844983,1927.4669107386803
SAU,Saudi Arabia,32175351.5,9297692.5,22877659,0.2889694149883646,1864.7834660051406
SVK,Slovakia,5473196.5,1037509.5,4435687,0.18956189495480383,1888.453090790976
SVN,Slovenia,2115228,379203,1736025,0.1792728727115942,1914.808868864434
SWE,Sweden,10487338,2196526,8290812,0.20944552373538453,1910.2921870717669
SYC,Seychelles,125522.5,30088.5,95434,0.2397060287996176,1860.2994333383185
TTO,Trinidad and Tobago,1495921.5,330022.5,1165899,0.22061485178199525,1920.703135392284
TWN,"China, Taiwan Province of China",23420111,3473356.5,19946754.5,0.14830657719769133,1943.084702937922
URY,Uruguay,3390913,788564.5,2602348.5,0.23255226542232135,1957.229429552053
USA,United States of America,341534045.5,74605776,266928269.5,0.21844315957074914,1945.3012354700259
