ISO,scenario,w,wt,child,old_delta,new_delta,dilution,new_over_old
NRU,max_uptake,18860853.44983448,17998752.878241014,9652185.0,-0.045708460324261346,-0.030235310526804726,1.5117575949398359,0.661481710657322
GUY,max_uptake,1367893269.0865266,1340286613.2938097,528629602.0,-0.02018187852561959,-0.014556458144320161,1.386455298777087,0.7212637875033129
ISR,max_uptake,16099870635.100994,15835494575.235706,5482685900.5,-0.01642100522776213,-0.012249524722856231,1.340542233211901,0.7459668000194412
PAN,max_uptake,7916558226.825505,7714091243.559721,2551616233.5,-0.025575127153074972,-0.019341193064094875,1.3223138339150677,0.7562501233456986
OMN,max_uptake,9130168338.796616,8923213347.927626,2514720057.0,-0.022667160471683823,-0.017772174694580478,1.275429758103611,0.7840494497218459
SAU,max_uptake,63813356155.117424,62071550807.66877,17338183246.0,-0.027295310141887463,-0.0214636143726028,1.2717014789796415,0.7863480671598846
PYF,max_uptake,613023281.6763713,592497087.2140267,139073502.0,-0.03348354797588404,-0.02729195883807567,1.2268649595488283,0.8150856312399224
URY,max_uptake,6895718036.37262,6733124683.984262,1543401646.5,-0.023578886423535783,-0.01926662477821517,1.2238202951975514,0.8171134307252002
IRL,max_uptake,10685528977.948446,10451783360.668604,2322179963.5,-0.021874969200141536,-0.01796977610215611,1.2173200754302613,0.8214766355894957
SYC,max_uptake,259448791.5202622,254020537.02407512,55973619.5,-0.020922257777266084,-0.017209476265902968,1.2157405288805465,0.8225439361808558
BHS,max_uptake,842539181.012184,814879755.9827114,179827059.0,-0.032828651358675076,-0.02705432157965526,1.2134346544975687,0.8241070059220106
ATG,max_uptake,196494661.3888864,191688889.67343947,40995039.0,-0.024457517987909738,-0.020235705833042572,1.2086318208862985,0.8273818235785755
TTO,max_uptake,3097111161.7375703,3026994201.3303,633875250.5,-0.022639471670733546,-0.0187931427938971,1.2046666126586096,0.8301051838674899
KNA,max_uptake,98876710.53519407,95739974.72500034,20004941.0,-0.031723707162337744,-0.026385365358632562,1.2023220725256578,0.8317238973242433
NZL,max_uptake,10911065168.574986,10652881675.24007,2205803097.0,-0.02366253792329187,-0.019683318312536002,1.2021620311968206,0.8318346229954064
FRA,max_uptake,133276231066.69348,132093754603.39627,26742479393.5,-0.00887237321938883,-0.007389613751395463,1.2006545291644513,0.8328790469777481
CHL,max_uptake,40699477283.43303,39599326624.38632,8117895442.0,-0.027031075887908984,-0.022536048083422355,1.1994594521562674,0.833708882949152
USA,max_uptake,739777366156.5228,717926449656.9503,145130708226.0,-0.02953715198546536,-0.02469286599607512,1.1961816012025612,0.8359934636970411
BRB,max_uptake,602371317.0984032,585964928.2898107,117348418.5,-0.027236338024229645,-0.02279552442028232,1.1948107673274722,0.8369526182265492
BHR,max_uptake,3307478202.7755218,3222375815.9129777,643620433.5,-0.02573029409268035,-0.021538917323199347,1.194595517805649,0.8371034254647968
AUS,max_uptake,56169187891.33229,54902540915.72194,10906466000.5,-0.022550565944817857,-0.018883855797410143,1.194171687538018,0.8374005266040638
KWT,max_uptake,10238324050.182142,9944917894.864035,1975322328.5,-0.02865763516372466,-0.024022814008290094,1.1929341480908546,0.838269238583182
ISL,max_uptake,835039626.1426677,820512179.799309,160831236.5,-0.017397313718470864,-0.014587680881443021,1.1926031190195538,0.8385019157270911
GBR,max_uptake,144860530188.03787,141897072315.81696,27659557908.5,-0.020457317589367974,-0.01717746556309807,1.1909392287367455,0.8396734072323099
SWE,max_uptake,22321894572.78614,22036751233.266228,4196006456.5,-0.012774154926237569,-0.010752862347777947,1.1879771648780917,0.8417670217614183
NOR,max_uptake,11792716299.176998,11617170251.743904,2154261909.0,-0.014885972237400957,-0.012586672525965015,1.1826773284752339,0.8455391643376199
BEL,max_uptake,24697008627.36207,24296373871.638447,4483991880.5,-0.016221995212802987,-0.013729301557555584,1.1815601212339595,0.8463386517781686
DNK,max_uptake,12831079594.707481,12686964958.119743,2221956339.0,-0.011231684405354492,-0.009573792105619705,1.1731698663857175,0.8523914811081749
ROU,max_uptake,42143704296.47938,41059320622.12242,7172431080.5,-0.02573062079992683,-0.02198841547635022,1.1701898587281796,0.854562182829757
CYP,max_uptake,2786392602.1910844,2736277261.646473,470390512.5,-0.01798574275039455,-0.01538798832459709,1.1688170260465476,0.8555659078499567
EST,max_uptake,3023620092.2546577,2965241924.929435,505147989.5,-0.019307375114606895,-0.01654349789295162,1.167067281631708,0.8568486288141635
LUX,max_uptake,1418902334.2605171,1397673654.3052905,235320663.5,-0.014961339792488482,-0.012833021898478014,1.165846977496616,0.8577455011696871
FIN,max_uptake,12290908746.579517,12085071196.000193,2028055688.0,-0.016747138460092126,-0.014375170182156394,1.1650045354510012,0.8583657570164567
CAN,max_uptake,85189878054.98799,83482173743.62479,14001099676.0,-0.020045859324518855,-0.017216327033236833,1.164351681158208,0.8588470443957914
LVA,max_uptake,4206423724.1785674,4121958808.722228,686326213.5,-0.020079982663380846,-0.017263280676963255,1.1631614545997804,0.8597258755828355
NLD,max_uptake,40174675520.01966,39659942448.49005,6438453711.0,-0.012812376574718343,-0.011042662872482456,1.160261498759128,0.8618746731400384
CHE,max_uptake,18684420157.39912,18486544573.997383,2985868817.5,-0.01059040536098077,-0.009131192649573738,1.1598052705059505,0.8622137055505593
SVK,max_uptake,12290364811.18531,12028262179.72091,1959288022.0,-0.02132586261604419,-0.01839361523629568,1.159416587880034,0.8625027539311597
