ISO,scenario,adult_pop_share,adult_eer_percap,faostat_kcal_percap,adult_energy_share_faostat,delta_current,delta_faostat,factor_faostat
ARE,max_uptake,0.8784951589481343,2847.9365647957266,3321.43,0.7532594349916831,-0.021985096746372834,-0.01656048155341029,0.7532594349916831
ARE,mod_uptake,0.8784951589481343,2847.9365647957266,3321.43,0.7532594349916831,-0.011932595291641257,-0.008988339987366135,0.753259434991685
ATG,max_uptake,0.7661209470989762,2735.4943358956225,2458.4,0.8524729545233642,-0.024457517987909738,-0.020849372619461726,0.8524729545233637
ATG,mod_uptake,0.7661209470989762,2735.4943358956225,2458.4,0.8524729545233642,-0.013005052850724175,-0.011086455827389378,0.8524729545233674
AUS,max_uptake,0.782484936439472,2742.177000312413,3470.69,0.6182379284220834,-0.022550565944817857,-0.013941615174469752,0.6182379284220825
AUS,mod_uptake,0.782484936439472,2742.177000312413,3470.69,0.6182379284220834,-0.01200961483253904,-0.007424799395216076,0.6182379284220846
AUT,max_uptake,0.8392619037498238,2645.874942653158,3812.18,0.5824966400996399,-0.013330682667849314,-0.007765077864256724,0.5824966400996395
AUT,mod_uptake,0.8392619037498238,2645.874942653158,3812.18,0.5824966400996399,-0.007033289198443593,-0.004096867326942497,0.582496640099642
BEL,max_uptake,0.7995318262892793,2650.09636760431,3909.12,0.5420238797052174,-0.016221995212802987,-0.008792708781802935,0.5420238797052171
BEL,mod_uptake,0.7995318262892793,2650.09636760431,3909.12,0.5420238797052174,-0.008437744434349859,-0.004573458974267406,0.5420238797052163
BHR,max_uptake,0.8077545628060833,2781.262035103014,3505.98,0.6407843453795494,-0.02573029409268035,-0.01648756965660147,0.6407843453795496
BHR,mod_uptake,0.8077545628060833,2781.262035103014,3505.98,0.6407843453795494,-0.013303101130590744,-0.008524418949483543,0.6407843453795501
BHS,max_uptake,0.746514464120201,2752.8922191108295,2619.86,0.7844212514142708,-0.032828651358675076,-0.025751491781014674,0.7844212514142699
BHS,mod_uptake,0.746514464120201,2752.8922191108295,2619.86,0.7844212514142708,-0.017327385612486368,-0.013591969505884198,0.7844212514142714
BRB,max_uptake,0.7868320136349111,2718.337317763236,3197.51,0.6689188854685585,-0.027236338024229645,-0.01821890087541264,0.6689188854685595
BRB,mod_uptake,0.7868320136349111,2718.337317763236,3197.51,0.6689188854685585,-0.01466627466023196,-0.009810548099698125,0.6689188854685586
CAN,max_uptake,0.8202101687898345,2700.956553581733,3606.14,0.614327793903532,-0.020045859324518855,-0.012314728535732213,0.6143277939035319
CAN,mod_uptake,0.8202101687898345,2700.956553581733,3606.14,0.614327793903532,-0.010415899942451956,-0.006398776833166411,0.6143277939035295
CHE,max_uptake,0.8251696991122903,2590.6071883156205,3452.57,0.6191592217103598,-0.01059040536098077,-0.006557147140902089,0.6191592217103611
CHE,mod_uptake,0.8251696991122903,2590.6071883156205,3452.57,0.6191592217103598,-0.005499725415033296,-0.0034052057075926907,0.6191592217103579
CHL,max_uptake,0.7838319544290806,2648.665744075277,3105.59,0.6685070620422784,-0.027031075887908984,-0.01807046512566793,0.6685070620422792
CHL,mod_uptake,0.7838319544290806,2648.665744075277,3105.59,0.6685070620422784,-0.01439396048305086,-0.009622464233677009,0.66850706204228
CYP,max_uptake,0.8620420458813095,2582.774415589273,3037.47,0.7329982324975984,-0.01798574275039455,-0.01318351764619574,0.7329982324976007
CYP,mod_uptake,0.8620420458813095,2582.774415589273,3037.47,0.7329982324975984,-0.009653786578869283,-0.00707620849922026,0.7329982324976023
CZE,max_uptake,0.8237857573716003,2802.8773624922705,3425.73,0.6740082992180962,-0.021933894116969666,-0.014783626669008555,0.6740082992180974
CZE,mod_uptake,0.8237857573716003,2802.8773624922705,3425.73,0.6740082992180962,-0.011820288496785292,-0.007966972545985499,0.6740082992180977
DEU,max_uptake,0.8410264851173997,2688.879059585076,3603.83,0.627504212015721,-0.016449599695979034,-0.010322193095199385,0.627504212015722
DEU,mod_uptake,0.8410264851173997,2688.879059585076,3603.83,0.627504212015721,-0.00869246432762516,-0.005454557978381201,0.6275042120157223
DNK,max_uptake,0.8073702114493408,2701.7568458574174,3592.18,0.6072407273367725,-0.011231684405354492,-0.006820336207524537,0.6072407273367717
DNK,mod_uptake,0.8073702114493408,2701.7568458574174,3592.18,0.6072407273367725,-0.005748916595552878,-0.003490976294881967,0.6072407273367718
ESP,max_uptake,0.8373150572251555,2566.65286845295,3375.29,0.6367147988545552,-0.01367360927304262,-0.00870618937790113,0.6367147988545565
ESP,mod_uptake,0.8373150572251555,2566.65286845295,3375.29,0.6367147988545552,-0.007115045665007758,-0.004530254869436404,0.6367147988545573
EST,max_uptake,0.8199719469707253,2780.769895721507,3297.53,0.6914731042545011,-0.019307375114606895,-0.013350530605503333,0.691473104254501
EST,mod_uptake,0.8199719469707253,2780.769895721507,3297.53,0.6914731042545011,-0.01017617116645797,-0.007036548665895825,0.6914731042544996
FIN,max_uptake,0.8187268871542661,2709.420336384057,3377.7,0.6567413559523296,-0.016747138460092126,-0.01099853842060232,0.6567413559523302
FIN,mod_uptake,0.8187268871542661,2709.420336384057,3377.7,0.6567413559523296,-0.009039033440046973,-0.005936307077914875,0.656741355952327
FRA,max_uptake,0.812716569005687,2537.4767926866334,3595.02,0.5736406008544698,-0.00887237321938883,-0.005089553504575323,0.5736406008544707
FRA,mod_uptake,0.812716569005687,2537.4767926866334,3595.02,0.5736406008544698,-0.004738956723692178,-0.0027184579824020855,0.5736406008544644
GBR,max_uptake,0.7967284851458192,2693.2609662258274,3355.3,0.6395248501545222,-0.020457317589367974,-0.013082962965904022,0.6395248501545221
