ISO,Country,tonnage_before,tonnage_after,difference,excluded_aggregate_t,invariant_gap
ARE,United Arab Emirates,14762.0,8687.0,6075.0,6075.0,0.0
ATG,Antigua and Barbuda,158.0,86.0,72.0,72.0,0.0
AUS,Australia,57424.0,34124.0,23300.0,23300.0,0.0
AUT,Austria,19203.0,11633.0,7570.0,7570.0,0.0
BEL,Belgium,26105.0,15422.0,10683.0,10683.0,0.0
BHR,Bahrain,3132.0,1933.0,1199.0,1199.0,0.0
BHS,Bahamas,821.0,445.0,376.0,376.0,0.0
BRB,Barbados,494.0,270.0,224.0,224.0,0.0
CAN,Canada,74824.0,44138.0,30686.0,30686.0,0.0
CHE,Switzerland,19159.0,12322.0,6837.0,6837.0,0.0
CHL,Chile,28805.0,16212.0,12593.0,12593.0,0.0
CYP,Cyprus,2178.0,1297.0,881.0,881.0,0.0
CZE,Czechia,19709.0,11651.0,8058.0,8058.0,0.0
DEU,Germany,170596.0,104137.0,66459.0,66459.0,0.0
DNK,Denmark,14274.0,9550.0,4724.0,4724.0,0.0
ESP,Spain,86499.0,52260.0,34239.0,34239.0,0.0
EST,Estonia,2934.0,1907.0,1027.0,1027.0,0.0
FIN,Finland,11353.0,7077.0,4276.0,4276.0,0.0
FRA,France,133587.0,84049.0,49538.0,49538.0,0.0
GBR,United Kingdom of Great Britain and Northern Ireland,140827.0,84426.0,56401.0,56401.0,0.0
GRC,Greece,20926.0,12971.0,7955.0,7955.0,0.0
GUY,Guyana,2077.0,1129.0,948.0,948.0,0.0
HRV,Croatia,9114.0,5290.0,3824.0,3824.0,0.0
HUN,Hungary,15734.0,9718.0,6016.0,6016.0,0.0
IRL,Ireland,12424.0,7782.0,4642.0,4642.0,0.0
ISL,Iceland,904.0,521.0,383.0,383.0,0.0
ISR,Israel,17851.0,10597.0,7254.0,7254.0,0.0
ITA,Italy,115933.0,72281.0,43652.0,43652.0,0.0
JPN,Japan,153376.0,86478.0,66898.0,66898.0,0.0
KNA,Saint Kitts and Nevis,64.0,30.0,34.0,34.0,0.0
KOR,Republic of Korea,87832.0,46193.0,41639.0,41639.0,0.0
KWT,Kuwait,8348.0,4833.0,3515.0,3515.0,0.0
LTU,Lithuania,5762.0,3638.0,2124.0,2124.0,0.0
LUX,Luxembourg,1738.0,1015.0,723.0,723.0,0.0
LVA,Latvia,3623.0,2225.0,1398.0,1398.0,0.0
MLT,Malta,1164.0,738.0,426.0,426.0,0.0
NLD,Netherlands (Kingdom of the),39497.0,25059.0,14438.0,14438.0,0.0
NOR,Norway,11476.0,6607.0,4869.0,4869.0,0.0
NRU,Nauru,17.0,10.0,7.0,7.0,0.0
NZL,New Zealand,8563.0,4993.0,3570.0,3570.0,0.0
OMN,Oman,9452.0,5890.0,3562.0,3562.0,0.0
PAN,Panama,6987.0,3700.0,3287.0,3287.0,0.0
POL,Poland,73438.0,44541.0,28897.0,28897.0,0.0
PRT,Portugal,21116.0,12559.0,8557.0,8557.0,0.0
PYF,French Polynesia,517.0,291.0,226.0,226.0,0.0
QAT,Qatar,5438.0,3051.0,2387.0,2387.0,0.0
ROU,Romania,38902.0,23879.0,15023.0,15023.0,0.0
SAU,Saudi Arabia,49408.0,27037.0,22371.0,22371.0,0.0
SVK,Slovakia,9335.0,5739.0,3596.0,3596.0,0.0
SVN,Slovenia,4258.0,2532.0,1726.0,1726.0,0.0
SWE,Sweden,21273.0,12960.0,8313.0,8313.0,0.0
SYC,Seychelles,233.0,127.0,106.0,106.0,0.0
TTO,Trinidad and Tobago,1992.0,1116.0,876.0,876.0,0.0
TWN,"China, Taiwan Province of",32479.0,17996.0,14483.0,14483.0,0.0
URY,Uruguay,6328.0,3962.0,2366.0,2366.0,0.0
USA,United States of America,747112.0,456850.0,290262.0,290262.0,0.0
